                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3384,                 3.3461,                 3.8575,                 1.6123,                0.74939,                0.88889,                0.75133,                 0.2089,                0.74939,                0.88889,                  0.751,                0.30613,                 2.3479,                 2.7833,                 2.7737,                 4.2328,                0.00012,                0.00012,                0.00012
                      2,                0.83645,                 1.9187,                 2.3349,                 1.2449,                0.79632,                0.88889,                 0.9282,                0.73423,                 0.8217,                0.92593,                 0.9511,                0.78902,                0.70189,                0.75058,                 10.331,                 1.4405,             0.00025743,             0.00025743,             0.00025743
                      3,                 0.5902,                0.92587,                 1.0464,                  1.026,                0.89638,                0.96296,                0.95757,                0.81269,                0.89638,                0.96296,                0.95757,                0.76935,                 0.6481,                 1.2956,                 7.5583,                 1.2615,             0.00039208,             0.00039208,             0.00039208
                      4,                0.54715,                0.86787,                0.87199,                0.98501,                0.96065,                0.96296,                0.96105,                0.84179,                0.96065,                0.96296,                0.96098,                0.78554,                0.51373,                 1.6307,                 3.6482,                 1.0238,             0.00052396,             0.00052396,             0.00052396
                      5,                0.56096,                0.79912,                0.79218,                0.99104,                0.80067,                0.85185,                0.85528,                0.65706,                 0.7101,                0.74074,                 0.6913,                0.34844,                 0.9611,                  9.287,                 1.9685,                 1.7387,             0.00065307,             0.00065307,             0.00065307
                      6,                0.57695,                0.83858,                 0.7008,                 1.0328,                0.97726,                0.77778,                0.77742,                0.53603,                0.86565,                0.44444,                0.44233,                0.24059,                 1.2337,                 13.799,                 6.3522,                 2.1502,             0.00077941,             0.00077941,             0.00077941
                      7,                0.62225,                0.86696,                0.72628,                 1.0089,                0.72666,                0.59086,                0.61136,                0.26754,                0.18197,                0.11111,                0.03816,                0.00787,                 1.7957,                 45.943,                 2.8709,                 2.5162,             0.00090298,             0.00090298,             0.00090298
                      8,                0.66228,                0.86269,                0.76342,                 1.0716,                0.66999,                0.81481,                0.82672,                0.49736,                0.28571,                0.14815,                0.06433,                0.00878,                 1.2047,                 57.735,                 4.3121,                 2.0373,              0.0010238,              0.0010238,              0.0010238
                      9,                0.61944,                0.88052,                0.66295,                 1.0341,                 0.0136,                0.03704,                0.00803,                0.00602,                      0,                      0,                      0,                      0,                 2.9255,                 235.27,                 18.349,                 5.6274,              0.0011418,              0.0011418,              0.0011418
                     10,                0.73721,                 0.7608,                0.69226,                 1.1005,                0.00048,                0.03704,                0.00021,                  7e-05,                      0,                      0,                      0,                      0,                  4.075,                 118.32,                 56.399,                  7.823,               0.001257,               0.001257,               0.001257
                     11,                0.68569,                0.99723,                0.64928,                 1.0851,                0.00113,                0.03704,                0.00018,                  4e-05,                      0,                      0,                      0,                      0,                 4.4947,                 103.84,                 72.686,                 8.6159,              0.0013695,              0.0013695,              0.0013695
                     12,                  0.666,                0.99698,                0.66322,                 1.0465,                0.05384,                0.18519,                 0.0262,                0.01191,                0.04738,                0.07407,                0.00798,                0.00125,                 2.5227,                 44.789,                 4.4325,                 4.2465,              0.0014792,              0.0014792,              0.0014792
                     13,                0.68008,                0.88218,                0.66356,                 1.0631,                0.00522,                0.07407,                 0.0019,                0.00059,                0.00522,                0.07407,                 0.0014,                0.00017,                 3.8025,                 19.326,                 5.6206,                 7.5324,              0.0015862,              0.0015862,              0.0015862
                     14,                0.61891,                 1.0128,                0.63915,                 1.0533,                0.00156,                0.33333,                 0.0012,                0.00021,                0.00035,                0.07407,                 0.0002,                  3e-05,                 3.8221,                 7.9849,                 4.9874,                 5.6061,              0.0016903,              0.0016903,              0.0016903
                     15,                0.67277,                0.92915,                0.64912,                  1.047,                0.05541,                0.11111,                 0.0259,                0.01294,                0.05541,                0.11111,                0.02326,                0.00761,                 3.4564,                 6.4768,                 6.3655,                 4.4713,              0.0017228,              0.0017228,              0.0017228
                     16,                0.74709,                0.91401,                0.66516,                 1.0841,                0.13108,                 0.2963,                 0.0715,                0.04553,                 0.0979,                0.22222,                0.04651,                0.01909,                 1.5111,                 15.817,                 7.6082,                 2.3094,               0.001703,               0.001703,               0.001703
                     17,                0.66129,                0.78819,                 0.6875,                 1.0441,                0.31999,                0.74074,                0.57602,                 0.3365,                0.17599,                0.40741,                0.25398,                 0.0775,                 1.4204,                 27.294,                 5.9435,                 2.0034,              0.0016832,              0.0016832,              0.0016832
                     18,                0.64314,                0.79822,                0.62713,                 1.0404,                0.46999,                0.62963,                0.52532,                0.37286,                0.46999,                0.62963,                0.47978,                0.25018,                 1.2665,                 7.6843,                  4.254,                 1.6269,              0.0016634,              0.0016634,              0.0016634
                     19,                0.62065,                0.70568,                0.58862,                 1.0134,                0.16409,                0.74074,                0.38244,                 0.2555,                0.15588,                 0.7037,                0.34305,                0.21591,                 1.1719,                 3.0405,                 8.8181,                 1.5368,              0.0016436,              0.0016436,              0.0016436
                     20,                0.61871,                 0.8257,                0.56112,                0.99937,                0.24189,                0.66667,                0.31645,                0.19491,                0.23099,                0.62963,                0.29474,                0.16035,                 1.1672,                 3.2365,                 7.6629,                 1.5639,              0.0016238,              0.0016238,              0.0016238
                     21,                0.69675,                0.81437,                0.62631,                 1.0581,                0.41499,                0.81481,                0.60826,                0.42138,                0.41499,                0.81481,                0.59699,                 0.3378,                 1.0176,                 3.9924,                 4.2048,                 1.5058,               0.001604,               0.001604,               0.001604
                     22,                0.60269,                0.82004,                0.56948,                 1.0266,                0.58642,                0.92593,                0.95018,                0.77768,                0.58642,                0.92593,                0.94794,                0.64542,                0.74124,                 4.3792,                 2.7707,                  1.284,              0.0015842,              0.0015842,              0.0015842
